Timestamp,IP_Address,Country,AthleteNames,Sports,Age,Gender,Nationality,Match_or_sport_event_dates,Outcomes,Medals,Ranks,Stadiums,Athlete_Height,Athlete_Weight,Date_of_Birth
2024-05-10 21:25:18.500659,120.75.36.117,Russia,Usain Bolt,Tennis,30,Female,Germany,2024-05-10 21:25:18.500677,Lose,Bronze,1,Bird's Nest,217,150,1994-05-10 21:25:18.500689
2024-05-10 21:25:18.500762,245.63.42.84,Russia,Lionel Messi,Gymnastics,37,Male,Russia,2024-05-10 21:25:18.500780,Win,Gold,10,Olympic Stadium,163,143,1985-05-10 21:25:18.500792
2024-05-10 21:25:18.500877,189.242.139.103,Russia,Simone Biles,Athletics,20,Male,China,2024-05-10 21:25:18.500946,Draw,Silver,1,Bird's Nest,217,86,1998-05-10 21:25:18.500963
2024-05-10 21:25:18.501085,133.133.28.144,China,Usain Bolt,Gymnastics,25,Male,India,2024-05-10 21:25:18.501107,Lose,Silver,9,Olympic Stadium,195,121,2002-05-10 21:25:18.501120
2024-05-10 21:25:18.501208,143.151.163.105,Russia,Serena Williams,Tennis,31,Female,China,2024-05-10 21:25:18.501228,Draw,Bronze,10,Wembley Stadium,213,83,1995-05-10 21:25:18.501280
2024-05-10 21:25:18.501817,37.157.139.97,Russia,Lionel Messi,Gymnastics,28,Female,USA,2024-05-10 21:25:18.501876,Win,,5,Bird's Nest,159,57,2005-05-10 21:25:18.501934
2024-05-10 21:25:18.502140,165.101.124.221,China,Michael Phelps,Athletics,33,Male,USA,2024-05-10 21:25:18.502165,Win,Bronze,9,Bird's Nest,177,83,1984-05-10 21:25:18.502177
2024-05-10 21:25:18.502279,156.160.77.228,China,Simone Biles,Tennis,18,Female,Germany,2024-05-10 21:25:18.502299,Win,Bronze,3,Olympic Stadium,188,68,1997-05-10 21:25:18.502311
2024-05-10 21:25:18.502398,60.214.238.161,China,Simone Biles,Gymnastics,35,Female,Russia,2024-05-10 21:25:18.502418,Draw,Gold,4,Wembley Stadium,208,141,1986-05-10 21:25:18.502430
2024-05-10 21:25:18.502513,62.71.73.83,Germany,Simone Biles,Swimming,29,Male,China,2024-05-10 21:25:18.502532,Win,,8,Madison Square Garden,186,50,1985-05-10 21:25:18.502543
2024-05-10 21:25:18.502624,110.232.52.86,Germany,Lionel Messi,Athletics,18,Male,Germany,2024-05-10 21:25:18.502643,Lose,Silver,9,Wembley Stadium,161,127,1994-05-10 21:25:18.502655
2024-05-10 21:25:18.502735,28.92.119.13,China,Simone Biles,Tennis,19,Female,Russia,2024-05-10 21:25:18.502754,Lose,Bronze,9,Olympic Stadium,220,100,1999-05-10 21:25:18.502765
2024-05-10 21:25:18.502845,88.30.133.15,USA,Michael Phelps,Athletics,31,Female,USA,2024-05-10 21:25:18.502862,Draw,,6,Olympic Stadium,207,51,1986-05-10 21:25:18.502874
2024-05-10 21:25:18.503065,37.85.95.249,Germany,Usain Bolt,Gymnastics,31,Male,India,2024-05-10 21:25:18.503095,Lose,Bronze,7,Madison Square Garden,178,88,1993-05-10 21:25:18.503130
2024-05-10 21:25:18.503309,51.185.82.161,Germany,Usain Bolt,Athletics,25,Female,USA,2024-05-10 21:25:18.503339,Draw,,9,Wembley Stadium,186,125,2002-05-10 21:25:18.503353
2024-05-10 21:25:18.503461,96.240.22.105,Germany,Usain Bolt,Athletics,21,Female,China,2024-05-10 21:25:18.503482,Lose,Gold,8,Wembley Stadium,193,65,1998-05-10 21:25:18.503494
2024-05-10 21:25:18.503584,14.204.232.173,Russia,Usain Bolt,Soccer,33,Female,China,2024-05-10 21:25:18.503626,Draw,Silver,8,Wembley Stadium,167,96,2005-05-10 21:25:18.503648
2024-05-10 21:25:18.503904,31.98.244.139,USA,Serena Williams,Athletics,21,Male,India,2024-05-10 21:25:18.503939,Lose,Gold,8,Madison Square Garden,160,135,1988-05-10 21:25:18.503952
2024-05-10 21:25:18.504046,61.63.21.246,Russia,Lionel Messi,Soccer,25,Male,Germany,2024-05-10 21:25:18.504064,Draw,,8,Olympic Stadium,175,55,1998-05-10 21:25:18.504075
2024-05-10 21:25:18.504154,173.212.181.48,Russia,Serena Williams,Athletics,30,Female,China,2024-05-10 21:25:18.504172,Draw,Bronze,2,Wembley Stadium,182,119,1995-05-10 21:25:18.504183
2024-05-10 21:25:18.504259,158.104.112.170,Russia,Lionel Messi,Tennis,40,Male,China,2024-05-10 21:25:18.504277,Draw,,8,Bird's Nest,150,100,1987-05-10 21:25:18.504289
2024-05-10 21:25:18.504363,115.234.90.147,India,Serena Williams,Soccer,32,Male,Russia,2024-05-10 21:25:18.504381,Lose,Silver,9,Wembley Stadium,210,117,2005-05-10 21:25:18.504393
2024-05-10 21:25:18.504520,192.199.6.133,USA,Simone Biles,Tennis,20,Female,Russia,2024-05-10 21:25:18.504538,Win,Silver,6,Wembley Stadium,211,55,1998-05-10 21:25:18.504549
2024-05-10 21:25:18.504624,209.91.201.43,India,Serena Williams,Gymnastics,31,Female,India,2024-05-10 21:25:18.504642,Win,Gold,1,Wembley Stadium,177,72,1994-05-10 21:25:18.504653
2024-05-10 21:25:18.504727,113.122.40.148,Germany,Usain Bolt,Swimming,34,Male,USA,2024-05-10 21:25:18.504745,Win,Bronze,2,Olympic Stadium,219,79,1986-05-10 21:25:18.504756
2024-05-10 21:25:18.504830,160.158.28.156,India,Michael Phelps,Soccer,22,Female,China,2024-05-10 21:25:18.504847,Draw,Silver,3,Bird's Nest,208,68,1996-05-10 21:25:18.504859
2024-05-10 21:25:18.504933,163.197.190.234,Russia,Lionel Messi,Athletics,40,Male,China,2024-05-10 21:25:18.504953,Draw,Bronze,5,Wembley Stadium,167,120,2005-05-10 21:25:18.504964
2024-05-10 21:25:18.505037,74.32.205.30,India,Usain Bolt,Tennis,22,Male,China,2024-05-10 21:25:18.505056,Lose,Gold,7,Wembley Stadium,209,88,1990-05-10 21:25:18.505067
2024-05-10 21:25:18.505141,86.184.64.88,USA,Lionel Messi,Athletics,31,Female,USA,2024-05-10 21:25:18.505159,Win,Bronze,3,Bird's Nest,157,136,1994-05-10 21:25:18.505170
2024-05-10 21:25:18.505246,19.243.28.141,India,Michael Phelps,Soccer,31,Female,Germany,2024-05-10 21:25:18.505264,Win,Silver,3,Wembley Stadium,199,115,1993-05-10 21:25:18.505275
2024-05-10 21:25:18.505350,124.135.115.155,India,Lionel Messi,Tennis,20,Male,Germany,2024-05-10 21:25:18.505369,Win,Gold,10,Olympic Stadium,155,128,1986-05-10 21:25:18.505379
2024-05-10 21:25:18.505453,1.139.160.27,China,Michael Phelps,Soccer,23,Male,USA,2024-05-10 21:25:18.505472,Win,Bronze,3,Wembley Stadium,202,85,2001-05-10 21:25:18.505483
2024-05-10 21:25:18.505557,141.87.5.20,China,Usain Bolt,Gymnastics,27,Male,Russia,2024-05-10 21:25:18.505575,Lose,Silver,7,Bird's Nest,184,106,1999-05-10 21:25:18.505586
2024-05-10 21:25:18.505816,184.72.72.176,Germany,Serena Williams,Soccer,29,Female,India,2024-05-10 21:25:18.505846,Win,Bronze,5,Wembley Stadium,217,91,1992-05-10 21:25:18.505859
2024-05-10 21:25:18.506055,4.174.211.25,India,Serena Williams,Gymnastics,34,Male,USA,2024-05-10 21:25:18.506079,Draw,Silver,8,Olympic Stadium,185,137,1998-05-10 21:25:18.506091
2024-05-10 21:25:18.506336,246.226.171.232,Russia,Michael Phelps,Gymnastics,18,Female,China,2024-05-10 21:25:18.506366,Win,,10,Madison Square Garden,166,71,1995-05-10 21:25:18.506379
2024-05-10 21:25:18.506582,225.98.83.41,Russia,Michael Phelps,Soccer,33,Female,Russia,2024-05-10 21:25:18.506657,Draw,Gold,7,Wembley Stadium,165,57,1991-05-10 21:25:18.506843
2024-05-10 21:25:18.507021,4.49.211.2,Russia,Simone Biles,Soccer,35,Female,Germany,2024-05-10 21:25:18.507055,Lose,Gold,1,Bird's Nest,173,58,1989-05-10 21:25:18.507066
2024-05-10 21:25:18.507149,207.160.16.95,India,Lionel Messi,Athletics,29,Female,USA,2024-05-10 21:25:18.507168,Lose,Gold,2,Madison Square Garden,185,114,2000-05-10 21:25:18.507180
2024-05-10 21:25:18.507259,83.127.112.71,China,Serena Williams,Tennis,39,Male,Russia,2024-05-10 21:25:18.507277,Draw,Bronze,9,Madison Square Garden,207,145,2001-05-10 21:25:18.507289
2024-05-10 21:25:18.507365,189.84.118.1,Russia,Serena Williams,Soccer,37,Male,India,2024-05-10 21:25:18.507383,Lose,Silver,4,Olympic Stadium,199,140,2004-05-10 21:25:18.507394
2024-05-10 21:25:18.507470,6.166.58.210,China,Lionel Messi,Tennis,22,Female,India,2024-05-10 21:25:18.507489,Lose,Gold,1,Bird's Nest,177,102,2002-05-10 21:25:18.507500
2024-05-10 21:25:18.507575,170.138.113.223,USA,Usain Bolt,Swimming,22,Male,India,2024-05-10 21:25:18.507594,Win,Gold,5,Madison Square Garden,199,106,1998-05-10 21:25:18.507605
2024-05-10 21:25:18.507680,243.236.218.153,USA,Serena Williams,Tennis,25,Female,India,2024-05-10 21:25:18.507697,Draw,,2,Bird's Nest,194,95,1992-05-10 21:25:18.507708
2024-05-10 21:25:18.507783,35.174.250.153,Russia,Simone Biles,Soccer,32,Female,Germany,2024-05-10 21:25:18.507800,Win,Gold,6,Bird's Nest,198,107,2005-05-10 21:25:18.507811
2024-05-10 21:25:18.507885,83.175.134.81,Russia,Michael Phelps,Swimming,18,Female,India,2024-05-10 21:25:18.507903,Win,Bronze,6,Madison Square Garden,152,110,1999-05-10 21:25:18.507914
2024-05-10 21:25:18.507987,11.246.25.75,China,Michael Phelps,Swimming,39,Female,Germany,2024-05-10 21:25:18.508005,Lose,Silver,3,Bird's Nest,161,89,1993-05-10 21:25:18.508016
2024-05-10 21:25:18.508090,170.48.97.230,Germany,Lionel Messi,Athletics,20,Male,USA,2024-05-10 21:25:18.508107,Win,,10,Bird's Nest,160,61,1989-05-10 21:25:18.508118
2024-05-10 21:25:18.508191,114.24.69.184,Russia,Lionel Messi,Swimming,19,Male,USA,2024-05-10 21:25:18.508209,Draw,Silver,7,Madison Square Garden,209,91,2005-05-10 21:25:18.508221
2024-05-10 21:25:18.508294,184.59.86.219,China,Lionel Messi,Tennis,35,Male,Germany,2024-05-10 21:25:18.508312,Lose,,10,Bird's Nest,183,51,1991-05-10 21:25:18.508324
2024-05-10 21:25:18.508398,117.147.231.1,Russia,Serena Williams,Swimming,36,Male,USA,2024-05-10 21:25:18.508415,Lose,,8,Bird's Nest,163,109,1990-05-10 21:25:18.508427
2024-05-10 21:25:18.508501,65.251.119.156,Germany,Usain Bolt,Soccer,40,Female,Russia,2024-05-10 21:25:18.508519,Draw,Bronze,4,Bird's Nest,181,63,1990-05-10 21:25:18.508530
2024-05-10 21:25:18.508603,40.202.192.23,India,Michael Phelps,Gymnastics,33,Female,Russia,2024-05-10 21:25:18.508621,Draw,Silver,10,Madison Square Garden,200,64,1986-05-10 21:25:18.508632
2024-05-10 21:25:18.508706,190.15.182.54,India,Usain Bolt,Soccer,25,Female,China,2024-05-10 21:25:18.508724,Lose,,1,Wembley Stadium,213,141,1986-05-10 21:25:18.508735
2024-05-10 21:25:18.508809,82.143.31.234,Germany,Serena Williams,Tennis,29,Female,China,2024-05-10 21:25:18.508827,Win,Gold,4,Bird's Nest,191,89,1992-05-10 21:25:18.508839
2024-05-10 21:25:18.508926,114.123.3.212,Germany,Lionel Messi,Soccer,26,Female,China,2024-05-10 21:25:18.508946,Win,,7,Madison Square Garden,174,103,2002-05-10 21:25:18.508957
2024-05-10 21:25:18.509044,122.96.91.111,Germany,Serena Williams,Swimming,22,Female,USA,2024-05-10 21:25:18.509062,Draw,Silver,2,Olympic Stadium,197,95,1985-05-10 21:25:18.509073
2024-05-10 21:25:18.509147,138.133.240.219,Russia,Serena Williams,Athletics,30,Male,Germany,2024-05-10 21:25:18.509165,Lose,Gold,4,Bird's Nest,213,137,1989-05-10 21:25:18.509177
2024-05-10 21:25:18.509252,132.93.253.243,USA,Lionel Messi,Soccer,33,Male,USA,2024-05-10 21:25:18.509270,Lose,,1,Bird's Nest,154,55,2004-05-10 21:25:18.509281
2024-05-10 21:25:18.509355,24.14.61.249,USA,Usain Bolt,Gymnastics,33,Male,China,2024-05-10 21:25:18.509373,Win,Bronze,8,Bird's Nest,206,59,2004-05-10 21:25:18.509383
2024-05-10 21:25:18.509457,195.84.120.105,USA,Simone Biles,Soccer,30,Male,Russia,2024-05-10 21:25:18.509474,Draw,Silver,3,Bird's Nest,203,59,2000-05-10 21:25:18.509485
2024-05-10 21:25:18.509559,178.117.4.115,Germany,Serena Williams,Soccer,39,Female,China,2024-05-10 21:25:18.509577,Lose,Silver,1,Madison Square Garden,169,85,2002-05-10 21:25:18.509588
2024-05-10 21:25:18.509661,216.62.51.54,Russia,Usain Bolt,Gymnastics,36,Female,China,2024-05-10 21:25:18.509679,Lose,Gold,8,Olympic Stadium,191,112,1984-05-10 21:25:18.509690
2024-05-10 21:25:18.509765,210.255.1.236,USA,Simone Biles,Swimming,40,Male,Germany,2024-05-10 21:25:18.509782,Draw,Bronze,10,Wembley Stadium,215,63,2003-05-10 21:25:18.509793
2024-05-10 21:25:18.510145,160.55.118.1,USA,Simone Biles,Tennis,28,Male,China,2024-05-10 21:25:18.510196,Lose,Silver,7,Olympic Stadium,161,57,1986-05-10 21:25:18.510210
2024-05-10 21:25:18.510321,156.212.55.146,China,Usain Bolt,Soccer,24,Female,USA,2024-05-10 21:25:18.510342,Draw,,8,Olympic Stadium,173,104,1995-05-10 21:25:18.510355
2024-05-10 21:25:18.510442,86.147.65.236,India,Usain Bolt,Gymnastics,30,Female,USA,2024-05-10 21:25:18.510462,Win,Silver,3,Olympic Stadium,159,79,1990-05-10 21:25:18.510474
2024-05-10 21:25:18.510868,61.213.130.111,USA,Serena Williams,Tennis,23,Male,India,2024-05-10 21:25:18.510904,Win,,4,Madison Square Garden,207,82,2003-05-10 21:25:18.510918
2024-05-10 21:25:18.511048,88.90.129.105,China,Simone Biles,Gymnastics,18,Female,Russia,2024-05-10 21:25:18.511071,Draw,Gold,10,Bird's Nest,219,69,1985-05-10 21:25:18.511083
2024-05-10 21:25:18.511235,50.172.89.3,India,Lionel Messi,Swimming,19,Male,Russia,2024-05-10 21:25:18.511264,Win,Bronze,9,Madison Square Garden,194,59,2000-05-10 21:25:18.511278
2024-05-10 21:25:18.511489,109.44.103.255,Russia,Lionel Messi,Soccer,39,Female,China,2024-05-10 21:25:18.511529,Lose,Bronze,6,Bird's Nest,208,82,1992-05-10 21:25:18.511573
2024-05-10 21:25:18.511726,221.236.214.188,China,Serena Williams,Athletics,34,Female,USA,2024-05-10 21:25:18.511750,Lose,Silver,6,Wembley Stadium,154,113,1999-05-10 21:25:18.511764
2024-05-10 21:25:18.511863,40.239.167.238,Germany,Lionel Messi,Swimming,27,Female,China,2024-05-10 21:25:18.511888,Lose,Silver,7,Wembley Stadium,151,53,2005-05-10 21:25:18.511902
2024-05-10 21:25:18.511996,153.228.150.163,China,Usain Bolt,Tennis,24,Male,USA,2024-05-10 21:25:18.512022,Draw,,6,Madison Square Garden,204,87,1992-05-10 21:25:18.512036
2024-05-10 21:25:18.512135,208.11.31.101,India,Simone Biles,Tennis,40,Male,China,2024-05-10 21:25:18.512158,Win,Gold,6,Olympic Stadium,150,130,1998-05-10 21:25:18.512172
2024-05-10 21:25:18.512269,81.254.195.57,USA,Simone Biles,Tennis,19,Male,USA,2024-05-10 21:25:18.512292,Win,,4,Madison Square Garden,194,68,1993-05-10 21:25:18.512305
2024-05-10 21:25:18.512397,93.23.96.88,India,Serena Williams,Soccer,29,Female,China,2024-05-10 21:25:18.512420,Draw,,7,Wembley Stadium,203,148,2000-05-10 21:25:18.512434
2024-05-10 21:25:18.512576,235.34.135.250,Russia,Serena Williams,Soccer,33,Male,Russia,2024-05-10 21:25:18.512600,Win,Silver,9,Wembley Stadium,210,81,2004-05-10 21:25:18.512615
2024-05-10 21:25:18.512702,168.172.99.195,Russia,Michael Phelps,Swimming,29,Male,Germany,2024-05-10 21:25:18.512761,Lose,Bronze,3,Madison Square Garden,217,109,1986-05-10 21:25:18.512787
2024-05-10 21:25:18.512881,154.13.28.3,Germany,Serena Williams,Gymnastics,22,Female,China,2024-05-10 21:25:18.512901,Win,Silver,1,Bird's Nest,159,88,1992-05-10 21:25:18.512913
2024-05-10 21:25:18.513107,208.238.155.67,Russia,Simone Biles,Tennis,37,Female,China,2024-05-10 21:25:18.513142,Lose,Bronze,6,Bird's Nest,169,77,1991-05-10 21:25:18.513167
2024-05-10 21:25:18.513376,54.248.91.6,Germany,Michael Phelps,Tennis,28,Male,China,2024-05-10 21:25:18.513432,Win,Silver,4,Bird's Nest,219,114,2004-05-10 21:25:18.513489
2024-05-10 21:25:18.513614,181.48.141.176,Germany,Lionel Messi,Athletics,36,Male,India,2024-05-10 21:25:18.513636,Lose,Silver,5,Olympic Stadium,218,120,2000-05-10 21:25:18.513648
2024-05-10 21:25:18.513750,111.192.94.121,Russia,Lionel Messi,Athletics,18,Female,USA,2024-05-10 21:25:18.513773,Win,Bronze,5,Olympic Stadium,209,128,2005-05-10 21:25:18.513786
2024-05-10 21:25:18.513880,148.208.108.220,China,Simone Biles,Soccer,40,Female,Germany,2024-05-10 21:25:18.513899,Win,,4,Madison Square Garden,211,79,1986-05-10 21:25:18.513910
2024-05-10 21:25:18.513987,208.175.231.212,China,Simone Biles,Athletics,30,Female,Germany,2024-05-10 21:25:18.514027,Win,,1,Olympic Stadium,191,145,1988-05-10 21:25:18.514041
2024-05-10 21:25:18.514125,136.10.149.97,Germany,Michael Phelps,Tennis,26,Male,Russia,2024-05-10 21:25:18.514145,Draw,Gold,1,Olympic Stadium,181,93,1996-05-10 21:25:18.514157
2024-05-10 21:25:18.514239,79.168.25.108,USA,Serena Williams,Athletics,26,Female,China,2024-05-10 21:25:18.514258,Lose,,9,Olympic Stadium,161,134,2001-05-10 21:25:18.514277
2024-05-10 21:25:18.514648,115.69.158.54,USA,Serena Williams,Swimming,25,Male,Germany,2024-05-10 21:25:18.514735,Draw,Bronze,2,Madison Square Garden,215,76,1997-05-10 21:25:18.514776
2024-05-10 21:25:18.514975,13.30.56.183,USA,Simone Biles,Gymnastics,22,Male,USA,2024-05-10 21:25:18.515028,Lose,,10,Wembley Stadium,166,54,2001-05-10 21:25:18.515062
2024-05-10 21:25:18.515310,214.194.46.141,USA,Usain Bolt,Soccer,24,Male,Germany,2024-05-10 21:25:18.515346,Draw,Gold,6,Olympic Stadium,192,145,1999-05-10 21:25:18.515372
2024-05-10 21:25:18.515459,179.198.125.22,Germany,Serena Williams,Athletics,33,Male,Russia,2024-05-10 21:25:18.515478,Draw,Gold,1,Olympic Stadium,215,99,2005-05-10 21:25:18.515489
2024-05-10 21:25:18.515567,220.168.60.199,Germany,Michael Phelps,Gymnastics,38,Female,Russia,2024-05-10 21:25:18.515585,Lose,Silver,5,Wembley Stadium,200,79,2005-05-10 21:25:18.515596
2024-05-10 21:25:18.515672,121.21.204.104,USA,Simone Biles,Gymnastics,27,Female,USA,2024-05-10 21:25:18.515690,Draw,Silver,7,Olympic Stadium,154,82,2003-05-10 21:25:18.515700
2024-05-10 21:25:18.515774,239.185.136.128,India,Serena Williams,Soccer,34,Female,Russia,2024-05-10 21:25:18.515792,Lose,Bronze,8,Olympic Stadium,157,61,2006-05-10 21:25:18.515803
2024-05-10 21:25:18.515879,40.195.114.162,India,Michael Phelps,Tennis,40,Male,Russia,2024-05-10 21:25:18.515913,Draw,Silver,1,Bird's Nest,193,63,2003-05-10 21:25:18.515929
2024-05-10 21:25:18.516019,58.149.193.24,India,Usain Bolt,Gymnastics,23,Female,India,2024-05-10 21:25:18.516038,Win,Silver,2,Bird's Nest,158,121,1989-05-10 21:25:18.516049
2024-05-10 21:25:18.516121,192.237.80.60,China,Michael Phelps,Swimming,18,Male,USA,2024-05-10 21:25:18.516140,Lose,Bronze,2,Madison Square Garden,160,133,2000-05-10 21:25:18.516152
2024-05-10 21:25:18.516226,26.255.204.185,Germany,Simone Biles,Athletics,39,Male,China,2024-05-10 21:25:18.516243,Draw,Silver,1,Olympic Stadium,185,82,1987-05-10 21:25:18.516254
2024-05-10 21:25:18.516327,211.157.189.224,India,Usain Bolt,Soccer,35,Female,China,2024-05-10 21:25:18.516345,Draw,,5,Olympic Stadium,150,97,1985-05-10 21:25:18.516356
2024-05-10 21:25:18.516428,212.9.192.57,Germany,Michael Phelps,Swimming,19,Female,Germany,2024-05-10 21:25:18.516446,Lose,Bronze,10,Madison Square Garden,200,125,1997-05-10 21:25:18.516457
2024-05-10 21:25:18.516531,107.101.19.213,India,Serena Williams,Swimming,37,Female,USA,2024-05-10 21:25:18.516548,Lose,Bronze,6,Madison Square Garden,179,128,1988-05-10 21:25:18.516560
2024-05-10 21:25:18.516632,10.112.35.4,USA,Serena Williams,Tennis,39,Male,USA,2024-05-10 21:25:18.516650,Lose,Silver,8,Madison Square Garden,178,65,1995-05-10 21:25:18.516661
2024-05-10 21:25:18.516734,5.162.70.132,Russia,Serena Williams,Athletics,27,Male,Germany,2024-05-10 21:25:18.516752,Lose,,1,Olympic Stadium,183,104,2003-05-10 21:25:18.516763
2024-05-10 21:25:18.516835,146.82.206.171,China,Usain Bolt,Soccer,32,Male,USA,2024-05-10 21:25:18.516853,Draw,Silver,1,Madison Square Garden,166,136,1991-05-10 21:25:18.516863
2024-05-10 21:25:18.516936,193.126.12.85,USA,Lionel Messi,Athletics,25,Male,USA,2024-05-10 21:25:18.516953,Lose,Silver,1,Madison Square Garden,196,137,1990-05-10 21:25:18.516964
2024-05-10 21:25:18.517037,139.213.74.148,Germany,Simone Biles,Athletics,26,Female,India,2024-05-10 21:25:18.517054,Draw,Gold,1,Madison Square Garden,192,75,1985-05-10 21:25:18.517065
2024-05-10 21:25:18.517138,227.108.150.181,Russia,Usain Bolt,Soccer,25,Male,China,2024-05-10 21:25:18.517156,Win,Bronze,3,Madison Square Garden,203,58,1996-05-10 21:25:18.517167
2024-05-10 21:25:18.517239,174.65.151.121,Germany,Lionel Messi,Swimming,25,Female,India,2024-05-10 21:25:18.517257,Lose,Bronze,10,Madison Square Garden,195,106,1987-05-10 21:25:18.517268
2024-05-10 21:25:18.517341,51.202.221.189,Germany,Lionel Messi,Swimming,36,Female,USA,2024-05-10 21:25:18.517358,Win,,8,Bird's Nest,185,73,1999-05-10 21:25:18.517369
2024-05-10 21:25:18.517442,162.190.235.63,Russia,Lionel Messi,Tennis,31,Male,Germany,2024-05-10 21:25:18.517459,Win,Gold,7,Wembley Stadium,157,124,1988-05-10 21:25:18.517471
2024-05-10 21:25:18.517544,197.242.143.156,China,Simone Biles,Athletics,34,Male,USA,2024-05-10 21:25:18.517561,Win,Gold,9,Olympic Stadium,150,82,2000-05-10 21:25:18.517572
2024-05-10 21:25:18.517646,40.32.80.197,China,Serena Williams,Athletics,25,Female,Russia,2024-05-10 21:25:18.517664,Win,Gold,1,Olympic Stadium,154,119,1999-05-10 21:25:18.517676
2024-05-10 21:25:18.517750,230.128.96.11,India,Serena Williams,Tennis,23,Male,India,2024-05-10 21:25:18.517768,Lose,Bronze,5,Bird's Nest,203,85,2001-05-10 21:25:18.517780
2024-05-10 21:25:18.517853,48.194.22.195,India,Simone Biles,Athletics,38,Male,India,2024-05-10 21:25:18.517871,Draw,Gold,2,Olympic Stadium,167,136,2006-05-10 21:25:18.517882
2024-05-10 21:25:18.517957,110.205.181.2,USA,Lionel Messi,Soccer,38,Female,USA,2024-05-10 21:25:18.517975,Win,Gold,8,Olympic Stadium,181,121,2000-05-10 21:25:18.517986
2024-05-10 21:25:18.518062,40.243.184.224,Russia,Lionel Messi,Soccer,40,Male,USA,2024-05-10 21:25:18.518080,Lose,Silver,1,Olympic Stadium,207,94,1993-05-10 21:25:18.518092
2024-05-10 21:25:18.518180,51.148.19.243,India,Simone Biles,Soccer,33,Female,China,2024-05-10 21:25:18.518234,Lose,,3,Madison Square Garden,193,72,1994-05-10 21:25:18.518268
2024-05-10 21:25:18.518811,217.72.127.238,Russia,Michael Phelps,Swimming,33,Female,Germany,2024-05-10 21:25:18.518850,Win,,6,Madison Square Garden,189,88,1996-05-10 21:25:18.518879
2024-05-10 21:25:18.519003,56.108.111.15,Russia,Simone Biles,Soccer,23,Male,USA,2024-05-10 21:25:18.519026,Lose,Silver,1,Olympic Stadium,160,124,2000-05-10 21:25:18.519038
2024-05-10 21:25:18.519398,111.147.22.108,USA,Michael Phelps,Athletics,36,Male,India,2024-05-10 21:25:18.519430,Draw,Silver,8,Olympic Stadium,191,50,2001-05-10 21:25:18.519454
